date,week,dow,smh1,drac1,eyb1,gre1,gre2
2008-12-16,51,2,1766,163,255,768,1794
2008-12-17,51,3,1182,116,159,544,1292
2008-12-18,51,4,1589,142,218,703,1636
2008-12-19,51,5,1364,187,229,750,1635
2008-12-20,51,6,427,221,185,275,774
2008-12-21,51,7,446,287,205,206,583
2008-12-22,52,1,521,232,236,436,1095
2008-12-23,52,2,521,278,233,381,1054
2008-12-24,52,3,287,218,161,328,646
2008-12-25,52,4,66,58,45,96,191
2008-12-26,52,5,272,219,170,187,453
2008-12-27,52,6,186,223,109,211,371
2008-12-28,52,7,245,228,108,135,337
2008-12-29,01,1,234,142,156,230,552
2008-12-30,01,2,287,130,136,260,670
2008-12-31,01,3,209,149,147,219,589
2009-01-01,01,4,234,140,132,157,230
2009-01-02,01,5,289,247,194,216,550
2009-01-03,01,6,247,208,133,131,456
2009-01-04,01,7,425,293,195,258,584
2009-01-05,02,1,1433,212,266,784,1544
2009-01-06,02,2,824,59,154,485,1164
2009-01-07,02,3,986,45,138,419,1030
2009-01-08,02,4,1168,55,172,531,1323
2009-01-09,02,5,1195,71,178,489,1341
2009-01-10,02,6,363,99,105,229,550
2009-01-11,02,7,199,69,40,129,311
2009-01-12,03,1,1282,128,229,693,1461
2009-01-13,03,2,1474,191,251,756,1626
2009-01-14,03,3,1311,202,348,627,1514
2009-01-15,03,4,1518,205,274,730,1691
2009-01-16,03,5,1340,263,248,661,1551
2009-01-17,03,6,450,287,178,321,626
2009-01-18,03,7,293,163,72,185,502
2009-01-19,04,1,1432,158,192,620,1438
2009-01-20,04,2,1155,104,187,565,1389
2009-01-21,04,3,1600,344,317,756,1645
2009-01-22,04,4,1639,264,260,790,1739
2009-01-23,04,5,655,43,99,333,868
2009-01-24,04,6,267,81,55,165,486
2009-01-25,04,7,726,432,235,350,630
2009-01-26,05,1,1639,213,252,737,1594
2009-01-27,05,2,1666,217,275,774,1684
2009-01-28,05,3,1601,370,315,776,1666
2009-01-29,05,4,2011,378,369,906,2028
2009-01-30,05,5,1573,309,295,697,1616
2009-01-31,05,6,479,386,176,291,673
2009-02-01,05,7,340,187,88,226,555
2009-02-02,06,1,1622,241,226,796,1552
2009-02-03,06,2,1801,219,236,821,1788
2009-02-04,06,3,1780,323,300,813,1708
2009-02-05,06,4,1807,247,243,864,1833
2009-02-06,06,5,1019,102,158,523,1300
2009-02-07,06,6,251,60,51,160,374
2009-02-08,06,7,212,33,42,146,270
2009-02-09,07,1,1475,256,305,632,1308
2009-02-10,07,2,1521,278,271,664,1430
2009-02-11,07,3,1487,262,295,669,1365
2009-02-12,07,4,1143,123,170,450,993
2009-02-13,07,5,1270,282,248,581,1171
2009-02-14,07,6,413,317,138,232,488
2009-02-15,07,7,543,333,156,220,488
2009-02-16,08,1,835,379,296,594,1098
2009-02-17,08,2,845,280,226,493,1213
2009-02-18,08,3,920,370,264,530,1252
2009-02-19,08,4,926,303,295,565,1302
2009-02-20,08,5,870,382,333,521,1240
2009-02-21,08,6,506,567,262,330,622
2009-02-22,08,7,362,271,129,118,545
2009-02-23,09,1,1728,270,351,838,1652
2009-02-24,09,2,1971,402,309,901,1864
2009-02-25,09,3,2141,609,514,973,1943
2009-02-26,09,4,2056,446,427,979,2004
2009-02-27,09,5,1833,393,363,879,1834
2009-02-28,09,6,1261,889,499,560,913
2009-03-01,09,7,693,308,164,265,605
2009-03-02,10,1,1127,120,179,588,1221
2009-03-03,10,2,2087,442,353,984,1874
2009-03-04,10,3,1844,274,326,878,1648
2009-03-05,10,4,1394,137,186,668,1446
2009-03-06,10,5,1142,53,167,488,1139
2009-03-07,10,6,848,514,350,485,752
2009-03-08,10,7,1133,683,516,428,718
2009-03-09,11,1,1763,224,274,795,1637
2009-03-10,11,2,1919,298,294,808,1806
2009-03-11,11,3,1886,383,425,844,1690
2009-03-12,11,4,2186,656,531,1062,2086
2009-03-13,11,5,2147,598,397,894,1954
2009-03-14,11,6,1302,1021,509,656,959
2009-03-15,11,7,1195,604,349,415,756
2009-03-16,12,1,2435,669,523,1149,2141
2009-03-17,12,2,2742,770,594,1225,2310
2009-03-18,12,3,2917,870,636,1270,2291
2009-03-19,12,4,3030,783,673,1349,2629
2009-03-20,12,5,2278,460,448,1020,2056
2009-03-21,12,6,1019,626,465,517,850
2009-03-22,12,7,1708,984,418,548,811
2009-03-23,13,1,2417,597,508,1146,2176
2009-03-24,13,2,1119,84,117,486,1271
2009-03-25,13,3,1828,383,366,837,1913
2009-03-26,13,4,2255,529,379,1017,2150
2009-03-27,13,5,2244,663,528,965,2142
2009-03-28,13,6,427,215,120,258,547
2009-03-29,13,7,629,288,155,256,573
2009-03-30,14,1,1915,316,378,905,1820
